Geo Place Name,Geo Join ID,NO2,O3,UHF42,Population,Asthma_Count
Bayside - Little Neck,404,17.44185147,36.88953233,404,172214,
Bedford Stuyvesant - Crown Heights,203,23.31389388,36.15812507,203,246687,3658.0
Bensonhurst - Bay Ridge,209,21.59935664,37.30085065,209,199556,
Borough Park,206,22.318317,37.40360507,206,202759,
Canarsie - Flatlands,208,19.46437805,38.29501816,208,192192,
Central Harlem - Morningside Heights,302,20.01117466,31.47180591,302,125088,
Chelsea - Clinton,306,25.83280383,28.35317493,306,127452,
Coney Island - Sheepshead Bay,210,18.29529819,40.41763987,210,171975,
Crotona -Tremont,105,21.97406172,32.15024536,105,165527,5708.0
Downtown - Heights - Slope,202,23.55155679,33.86869045,202,238815,
East Flatbush - Flatbush,207,22.36837297,37.25838607,207,226886,
East Harlem,303,20.16780596,32.00898429,303,123905,
East New York,204,22.84562702,36.31450852,204,182896,
Flushing - Clearview,403,18.93267515,36.68950296,403,187108,936.0
Fordham - Bronx Pk,103,18.99476736,32.31051756,103,174742,
Fresh Meadows,406,19.22358491,36.91926086,406,194105,
Gramercy Park - Murray Hill,307,25.77429464,29.47284974,307,161396,
Greenpoint,201,23.78126415,33.7542222,201,106768,
Greenwich Village - SoHo,308,24.18653719,29.05630081,308,114219,
High Bridge - Morrisania,106,21.5282083,32.13694571,106,151274,
Hunts Point - Mott Haven,107,21.80011208,33.38337979,107,114963,
Jamaica,408,19.68614922,37.42089146,408,223353,
Kingsbridge - Riverdale,101,17.89722521,29.39652856,101,118388,
Long Island City - Astoria,401,22.30308226,33.216065,401,163748,155.0
Lower Manhattan,310,24.03065331,29.88823161,310,58004,
Northeast Bronx,102,17.57629674,33.69356145,102,155442,
Pelham - Throgs Neck,104,19.78791893,34.91689947,104,140169,
Port Richmond,501,20.23958141,32.56097611,501,82159,
Ridgewood - Forest Hills,405,21.96049467,35.74608194,405,237757,
Rockaways,410,11.90192295,43.33287409,410,123800,141.0
South Beach - Tottenville,504,15.74624114,36.4865784,504,101379,
Southeast Queens,409,17.64972749,38.18201497,409,196482,167.0
Southwest Queens,407,20.64938172,37.44705249,407,269260,1088.0
Stapleton - St. George,502,19.53058121,33.37983804,502,129153,
Sunset Park,205,24.34243033,34.50967942,205,150744,
Union Square - Lower East Side,309,22.44163958,31.00497205,309,188564,
Upper East Side,305,22.32175756,31.2445346,305,219814,34.0
Upper West Side,304,21.43520833,29.75910834,304,211197,1843.0
Washington Heights,301,20.95317432,29.97225632,301,206451,
West Queens,402,22.48203662,34.3659895,402,205123,
Williamsburg - Bushwick,211,23.81074216,35.49941831,211,195818,
Willowbrook,503,17.20221576,34.65271795,503,89134,614.0
